,text,target
1,"*Sakallı lavuk trans kız olduğunu iddia eden tweet atar*

Maksimum 30takipcili Sünni hetero anon erkekler:",RACIST
6,48 kilo kizmi olur amk kadın dediğin ele avuca gelicek haksizmiyim,PROFANITY
9,Ay bokum 1.60 altı kadınlar kendine kadınım demesin,PROFANITY
10,Bakire kız arıyorsan sen de bakir erkek olacaksın. Milli olmak uçkuru bozuk güruhun uydurması.. her kültür doğru değil,PROFANITY
13,Berlin düşüp faşizm kaybettikten sonra Kızıl Ordu askerlerinin teca.. pardon özgürleştirdiği kadınlar...,RACIST
15,biz bu hayatta hic esmer 1.80+ yakisikli cocuklardan cekmedik. hep kumral 1.70 yer cucesi buyuyememis sivilceli suratli ergenlerden cektik,OTHER
20,"Çocuğun şu ortama girmek için yalandan dinlediği dertleri, diğer erkekler gibi değilim tavırlarını, insta fotolarının altına bıraktığı siyah kalpleri düşününce karnıma kramp girdi aq.",PROFANITY
28,Erkek adam onu ben hallederim deyip söküp daha da anasını sikince tamirciye gider,PROFANITY
57,Lezbiyen ya da aldatılmış sivilceli şişman bı Ergen'in teki olmalı.,PROFANITY
70,Geldi yine tibini fofenklediim top sakallı gız,PROFANITY
83,sivrisinekler ve erkeklerin kapatilmasi gerektigi kanaatindeyim,OTHER
222,"Araplar, Osmanlı'ya saldırmadan önce  Bir İngiliz savaş gemisinin içinde İngiliz subaylara konuşan Suudi Krallığı kurucusu Faysal:  ""Vücudumun bir yerinde bir damla Türk kanı ovarsa orayı keser atarım"". O zaman bende sizin yedi ceddinizi s2keyim AQ çocukları..",PROFANITY
231,Ben dilemiyorum çünki biz suçu olmayana kıymayız kıydıklarımız köpek soyu onlar ölünce rahat uyuuyorum teşekkürler tsk,OTHER
474,Siyaset kurumu şerefsizlik kurumudur  Bunların dini imanı paradır Allah'a kasem olsun ki fitil fitil burnunuzdan getireceğiz..!,INSULT
593,"Babaları ABD tarafından öldürülen koca bir nesil yetim büyüdü. Sayısız tecavüz, katliam yaşandı. Amerikan Ordusu göz göre göre Irak merkez bankasının altınlarını yüklenip götürdü, böyle kinlenmediler. Din kardeşlerinize sokayım muhteremler.",RACIST
669,Süzme Salak Şeyma Allah'ın ergen aveli kız noldu da sayfanı kilitledin korktun mu yoksa  boyundan büyük laflar eder eder sonra gider sayfasını kilitler  çarşaf çarşaf donuna kadar her şeyini sayfana yazan ergen Ebruyu düşüneceğine git kendi aile sorunlarınla ilgilen önce,PROFANITY
